Date,Location,Army_Active_Duty,Navy_Active_Duty,Marine_Corps_Active_Duty,Air_Force_Active_Duty,Coast_Guard_Active_Duty,Army_National_Guard,Army_Reserve,Navy_Reserve,Marine_Corps_Reserve,Air_National_Guard,Air_Force_Reserve,Coast_Guard_Reserve,Army_APF_DOD_Civilian,Navy_APF_DOD_Civilian,Marine_Corps_APF_DOD_Civilian,Air_Force_APF_DOD_Civilian,Fourth_Estate_DOD
9/1/2008,ALABAMA,5321,135,257,2774,932,11043,5238,376,691,2176,1315,157,18249,61,6,2211,2123
9/1/2008,ALASKA,6825,54,8,7540,2144,1870,324,81,7,1953,200,50,2637,21,0,1704,338
9/1/2008,ARIZONA,4663,351,3493,10101,26,5201,2490,888,415,2493,1035,2,3931,147,456,3177,1052
9/1/2008,ARKANSAS,135,17,31,4367,24,5418,2031,205,174,1820,184,0,2707,5,0,898,112
9/1/2008,ARMED FORCES EUROPE,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0
9/1/2008,ARMED FORCES PACIFIC,0,0,0,0,0,0,246,164,0,0,0,31,0,0,0,0,0
9/1/2008,CALIFORNIA,6611,54844,56709,16583,5265,16214,12686,9038,4255,4389,7657,923,8121,27449,4863,9856,6051
9/1/2008,COLORADO,10508,711,269,8415,48,3474,2801,854,388,1469,2363,13,3512,56,3,5244,1798
9/1/2008,CONNECTICUT,20,5928,22,17,733,3040,1112,399,180,1076,3,111,451,1044,0,218,577
9/1/2008,DELAWARE,10,4,9,3008,31,1492,349,111,96,1018,1577,1,223,3,2,1231,68
9/1/2008,DISTRICT OF COLUMBIA,5865,2916,1272,2616,1482,1276,1544,1896,336,1148,189,123,4189,8820,50,826,769
9/1/2008,FLORIDA,3212,26723,3762,22346,4653,9631,8818,5567,1159,1984,5075,955,3378,11180,186,9278,2007
9/1/2008,GEORGIA,49618,5281,1284,8081,443,10643,8755,1916,1014,2573,2868,129,12598,2163,2376,14536,2750
9/1/2008,HAWAII,15349,12459,4088,4404,1284,2461,2669,726,35,2292,607,129,4805,8560,557,2007,973
9/1/2008,IDAHO,18,69,24,3171,3,3419,685,149,100,1451,32,0,777,50,0,660,56
9/1/2008,ILLINOIS,776,18190,297,4352,146,9557,5928,2831,1313,2884,1382,94,7915,1663,5,3407,1144
9/1/2008,INDIANA,388,87,171,84,55,9432,3236,359,565,1836,1478,7,1794,3004,2,859,3897
9/1/2008,IOWA,22,21,111,40,35,6982,2534,161,186,1977,0,6,922,5,2,495,38
9/1/2008,KANSAS,14266,397,92,2261,123,4999,2934,149,188,1976,459,32,5319,4,1,991,370
9/1/2008,KENTUCKY,20181,16,242,122,125,6535,4168,286,194,1170,3,78,6477,176,3,232,942
9/1/2008,LOUISIANA,4240,538,663,5063,1223,8664,2514,1977,1026,1517,1675,191,3645,709,110,1395,317
9/1/2008,MAINE,246,2262,29,14,522,1963,505,467,99,1125,1,92,300,5356,1,262,715
9/1/2008,MARYLAND,6727,8264,1832,7147,762,4771,4478,1984,399,1785,1773,212,12776,14577,8,2174,2155
9/1/2008,MASSACHUSETTS,155,357,208,1203,1768,6191,2978,348,721,1966,2359,506,2295,208,4,2655,892
9/1/2008,MICHIGAN,493,276,317,104,1146,7992,3025,1121,1072,2637,119,166,5622,32,6,957,1495
9/1/2008,MINNESOTA,321,185,142,76,142,10652,3220,693,207,2142,1289,33,1420,18,3,749,155
9/1/2008,MISSISSIPPI,394,6033,532,6029,424,9638,2029,806,125,2506,1599,140,3295,2302,0,2483,280
9/1/2008,MISSOURI,11339,428,1606,3297,177,7508,5136,1463,3466,2723,1152,102,6769,59,405,1218,645
9/1/2008,MONTANA,15,5,14,3088,5,2649,796,151,17,1014,37,0,567,1,0,777,46
9/1/2008,NEBRASKA,97,358,61,5134,16,3708,1550,353,181,1003,335,17,1351,10,4,1932,101
9/1/2008,NEVADA,116,914,49,7741,14,2743,629,402,209,1005,414,2,466,276,1,1232,154
9/1/2008,NEW HAMPSHIRE,6,626,130,51,341,1798,890,116,113,940,1,18,475,13,2,268,144
9/1/2008,NEW JERSEY,877,444,150,3891,2038,3423,3794,916,416,2286,2583,167,10022,1944,12,1389,687
9/1/2008,NEW MEXICO,603,74,101,7626,11,2988,674,263,74,973,156,0,2832,43,1,3185,462
9/1/2008,NEW YORK,15464,1833,847,307,1126,8339,8313,1953,1479,5913,1271,559,6898,109,28,2419,1979
9/1/2008,NORTH CAROLINA,40230,3764,41450,7235,1563,10242,6319,1212,632,1427,2019,224,7831,4293,2919,1392,2195
9/1/2008,NORTH DAKOTA,13,7,4,5872,0,3059,281,89,26,838,36,0,484,3,0,1138,78
9/1/2008,OHIO,543,351,222,4757,404,9019,5186,1427,919,5254,3764,185,1522,76,5,12115,8935
9/1/2008,OKLAHOMA,10708,1319,412,7679,55,5490,2857,608,329,1998,1689,12,4873,83,5,13942,1432
9/1/2008,OREGON,177,181,144,44,1056,6325,513,581,322,2176,99,142,2565,24,2,538,24
9/1/2008,PENNSYLVANIA,965,862,646,211,339,14134,7506,2081,1492,3999,1322,166,9594,6247,21,1143,8336
9/1/2008,RHODE ISLAND,22,2021,175,74,264,2065,339,578,102,1153,0,45,240,3562,2,167,95
9/1/2008,SOUTH CAROLINA,14520,5771,11401,7104,748,9539,4231,804,285,1206,2214,164,3336,2861,734,1767,696
9/1/2008,SOUTH DAKOTA,25,5,0,2842,0,3162,354,128,0,802,24,0,492,1,1,668,48
9/1/2008,TENNESSEE,293,1532,165,164,165,10498,3949,1373,624,3483,17,53,4247,1132,3,1096,752
9/1/2008,TEXAS,57088,5566,2082,35111,1632,18014,16340,5979,2940,3027,6668,403,24424,1337,25,14555,3651
9/1/2008,UTAH,298,38,137,3888,6,4863,2551,388,272,1425,1402,0,2319,38,2,10754,1005
9/1/2008,VERMONT,15,9,31,24,29,2658,204,46,0,971,1,18,308,3,0,253,31
9/1/2008,VIRGINIA,22641,69401,11652,11929,4327,7847,6974,5100,1058,1630,1561,617,21004,33848,3619,4511,19858
9/1/2008,WASHINGTON,26496,18957,723,5445,2033,5865,5286,2387,456,1978,2364,504,7804,14767,3,1840,900
9/1/2008,WEST VIRGINIA,241,182,121,42,74,4501,1962,126,265,2251,1,27,1110,92,0,545,12
9/1/2008,WISCONSIN,303,58,137,59,282,7539,4904,599,543,2159,1,106,1769,28,3,462,113
9/1/2008,WYOMING,7,0,1,2760,3,1765,75,64,0,1162,34,0,261,0,0,756,41
9/1/2008,UNKNOWN,2357,0,0,968,107,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,AFGHANISTAN,14762,1358,3485,3754,0,4036,996,381,51,397,365,0,422,6,1,24,13
9/1/2008,ALBANIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,ALGERIA,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,AMERICAN SAMOA,0,72,0,0,2,0,323,1,0,0,0,1,5,0,0,0,0
9/1/2008,ANTIGUA AND BARBUDA,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,ARGENTINA,5,0,2,9,0,0,0,0,0,0,0,0,3,0,0,0,0
9/1/2008,ARMENIA,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,AUSTRALIA,28,0,12,59,0,0,0,0,0,0,0,0,2,5,0,6,4
9/1/2008,AUSTRIA,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
9/1/2008,AZERBAIJAN,2,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1
9/1/2008,"BAHAMAS, THE",1,34,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
9/1/2008,BAHRAIN,27,3952,68,42,258,0,1,202,8,2,8,1,6,150,0,0,86
9/1/2008,BANGLADESH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,BARBADOS,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,BELGIUM,682,106,9,472,0,0,0,1,0,0,3,0,337,1,0,10,253
9/1/2008,BELIZE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,BOLIVIA,6,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0
9/1/2008,BOSNIA AND HERZEGOVINA,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2008,BOTSWANA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,BRAZIL,6,6,2,5,0,0,0,0,0,0,0,0,4,1,0,1,0
9/1/2008,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,BRITISH INDIAN OCEAN TERRITORY,0,283,0,39,0,0,0,1,0,0,0,0,0,2,0,0,0
9/1/2008,BULGARIA,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0
9/1/2008,BURKINA FASO,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,BURMA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,BURUNDI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,CAMBODIA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,CAMEROON,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,CANADA,8,0,2,82,1,0,0,0,0,0,0,1,1,5,0,2,19
9/1/2008,CHAD,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,CHILE,7,6,0,12,0,0,0,0,0,0,0,0,1,3,0,1,0
9/1/2008,CHINA,8,4,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0
9/1/2008,COLOMBIA,70,0,4,9,5,0,0,0,0,0,0,0,18,1,0,1,0
9/1/2008,CONGO (BRAZZAVILLE),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,CONGO (KINSHASA),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,COSTA RICA,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
9/1/2008,COTE DIVOIRE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2008,CROATIA,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2008,CUBA,325,1319,22,0,1,0,0,26,0,0,0,79,7,147,0,1,71
9/1/2008,CYPRUS,4,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
